Transaction_Amount,Transaction_Type,Device_Used,Account_Age,Credit_Score,Previous_Fraud,Day,Day_of_Week,Hour,Minute
9518.47,Transfer,POS Terminal,2,519,No,5,Sunday,19,8
6555.61,Transfer,Web,10,340,Yes,27,Monday,16,14
6972.76,Deposit,Web,18,581,Yes,9,Thursday,16,32
7354.18,Online Payment,ATM,6,782,Yes,8,Wednesday,14,33
4692.31,Transfer,POS Terminal,13,846,Yes,17,Friday,21,42
3970.7,Transfer,Mobile,15,584,No,28,Tuesday,20,21
8746.1,Deposit,Web,20,329,Yes,26,Sunday,15,13
1279.52,Deposit,POS Terminal,16,657,No,21,Tuesday,9,52
2424.47,Withdrawal,Mobile,14,715,Yes,10,Monday,10,36
4228.4,Transfer,Mobile,5,596,Yes,13,Monday,8,34
8703.36,Transfer,ATM,11,729,No,4,Saturday,6,30
310.46,Deposit,ATM,13,707,Yes,16,Thursday,19,12
4343.77,Deposit,Mobile,5,531,Yes,30,Thursday,21,34
7377.69,Deposit,Web,12,534,Yes,4,Saturday,8,22
4349.79,Withdrawal,Mobile,5,688,Yes,15,Wednesday,22,53
1494.68,Online Payment,POS Terminal,19,352,No,3,Friday,0,2
1544.97,Online Payment,ATM,9,634,Yes,2,Thursday,3,43
6169.53,Online Payment,ATM,8,649,Yes,20,Monday,13,49
1516.05,Online Payment,ATM,10,781,No,29,Wednesday,0,32
8262.61,Deposit,ATM,13,699,Yes,8,Wednesday,11,46
5300.86,Deposit,Mobile,18,828,No,26,Sunday,0,11
3510.4,Withdrawal,Web,8,608,No,6,Thursday,2,11
6035.22,Online Payment,POS Terminal,9,314,No,31,Friday,15,34
1547.99,Online Payment,Web,15,344,No,15,Saturday,15,51
9076.02,Withdrawal,POS Terminal,9,318,Yes,8,Wednesday,23,52
4729.08,Online Payment,Mobile,20,515,Yes,24,Friday,17,16
5941.09,Online Payment,Web,18,651,No,15,Saturday,21,18
4320.97,Transfer,Mobile,4,647,No,14,Friday,9,14
8585.21,Withdrawal,ATM,7,420,No,28,Tuesday,23,13
1748.68,Deposit,Web,1,592,No,17,Friday,14,36
1092.49,Withdrawal,Web,20,400,No,2,Sunday,5,34
658.98,Deposit,Web,5,502,No,12,Wednesday,4,55
8143.67,Online Payment,POS Terminal,1,574,Yes,1,Saturday,7,22
3751.76,Deposit,Mobile,3,748,No,28,Tuesday,9,43
3388.38,Withdrawal,Web,18,735,No,26,Sunday,7,49
2938.48,Transfer,POS Terminal,3,333,No,4,Tuesday,21,38
7538.73,Deposit,Web,4,504,Yes,11,Tuesday,2,37
3932.52,Withdrawal,Mobile,3,582,No,22,Wednesday,16,26
8028.86,Withdrawal,Mobile,16,337,No,16,Sunday,7,21
4885.07,Withdrawal,Web,9,799,No,6,Thursday,19,26
3966.49,Deposit,Web,13,374,Yes,22,Wednesday,17,48
1917.77,Online Payment,Web,3,562,No,15,Wednesday,21,19
9019.86,Withdrawal,Web,11,577,No,21,Tuesday,16,39
7443.31,Withdrawal,POS Terminal,11,800,Yes,4,Tuesday,17,4
5649.32,Online Payment,ATM,18,684,No,1,Wednesday,10,49
9877.29,Online Payment,Web,20,337,No,24,Friday,22,45
5307.78,Deposit,ATM,13,831,Yes,8,Saturday,9,6
2422.62,Withdrawal,ATM,4,673,Yes,4,Saturday,11,47
5373.52,Withdrawal,ATM,11,796,Yes,10,Monday,17,37
6181.37,Deposit,Mobile,16,413,Yes,14,Tuesday,15,49
6990.68,Deposit,ATM,12,631,Yes,25,Saturday,7,54
8387.59,Online Payment,POS Terminal,3,774,No,7,Tuesday,0,41
415.04,Online Payment,ATM,4,668,Yes,8,Saturday,8,52
8957.81,Transfer,Mobile,12,331,No,25,Saturday,17,10
3332.92,Withdrawal,Mobile,14,475,Yes,7,Tuesday,10,33
535.65,Deposit,Web,13,835,No,30,Thursday,1,39
5344.05,Transfer,Web,13,573,Yes,7,Tuesday,4,20
5595.79,Withdrawal,ATM,17,659,No,20,Monday,11,54
5901.81,Deposit,Web,8,631,Yes,20,Monday,2,52
4422.4,Transfer,Mobile,15,687,Yes,13,Thursday,12,21
1701.98,Online Payment,ATM,17,410,Yes,4,Tuesday,8,29
8573.6,Transfer,Web,18,463,No,11,Tuesday,19,52
1672.62,Deposit,ATM,5,545,Yes,2,Thursday,14,35
4924.09,Withdrawal,Mobile,18,608,Yes,14,Friday,17,14
7341.45,Withdrawal,Web,9,816,Yes,3,Monday,13,44
8128.54,Online Payment,Mobile,17,468,Yes,10,Friday,19,4
5516.53,Withdrawal,ATM,18,399,Yes,10,Friday,12,47
7666.93,Transfer,Web,5,828,Yes,8,Wednesday,5,52
3387.16,Transfer,POS Terminal,6,639,Yes,5,Sunday,20,47
1005.02,Deposit,Web,12,548,Yes,2,Thursday,14,31
846.72,Online Payment,Mobile,20,733,No,30,Thursday,3,4
4475.51,Online Payment,ATM,15,586,Yes,12,Sunday,11,45
8730.95,Transfer,Web,3,821,No,18,Saturday,12,28
4535.49,Transfer,Web,12,828,Yes,7,Tuesday,20,45
6604.09,Withdrawal,Mobile,4,327,Yes,2,Sunday,22,39
603.75,Transfer,Mobile,2,522,Yes,11,Tuesday,13,42
6775.64,Transfer,ATM,19,523,Yes,14,Friday,4,49
53.74,Transfer,Mobile,10,394,Yes,27,Monday,20,18
1522.1,Deposit,Mobile,16,781,Yes,8,Saturday,18,12
7735.25,Deposit,Mobile,13,324,No,9,Thursday,5,27
6802.45,Deposit,POS Terminal,13,366,No,3,Friday,2,59
1604.49,Withdrawal,ATM,9,606,No,2,Sunday,14,29
8516.29,Online Payment,Mobile,14,784,No,21,Tuesday,10,59
4018.93,Transfer,ATM,2,734,Yes,20,Monday,22,39
2957.41,Deposit,Mobile,13,342,No,28,Tuesday,23,53
1345.97,Withdrawal,ATM,7,496,Yes,24,Friday,6,2
6950.61,Transfer,Web,9,805,Yes,25,Saturday,10,25
3434.15,Transfer,Web,13,789,No,10,Friday,19,2
8871.46,Deposit,Web,11,490,Yes,7,Friday,19,58
2628.56,Deposit,POS Terminal,8,382,No,21,Tuesday,0,43
5917.42,Online Payment,Mobile,11,350,No,7,Friday,0,51
7340.16,Deposit,ATM,12,684,No,13,Monday,2,3
6990.46,Transfer,Mobile,1,767,No,25,Saturday,5,34
3210.15,Online Payment,Web,13,732,No,7,Tuesday,13,19
2462.74,Deposit,POS Terminal,7,815,Yes,22,Wednesday,15,40
1686.99,Withdrawal,Mobile,20,459,Yes,5,Wednesday,5,10
1982.29,Transfer,POS Terminal,3,432,Yes,11,Saturday,16,14
8282.08,Transfer,Mobile,6,675,Yes,13,Monday,3,40
8626.05,Withdrawal,Web,15,752,No,21,Tuesday,3,2
3553.87,Deposit,POS Terminal,5,361,Yes,8,Saturday,5,35
5141.59,Transfer,Mobile,18,537,No,11,Tuesday,20,45
2180.79,Deposit,POS Terminal,16,789,No,30,Thursday,14,49
3005.04,Deposit,Web,17,368,No,3,Friday,18,16
738.5,Online Payment,ATM,13,375,No,22,Wednesday,14,3
7321.6,Online Payment,POS Terminal,6,548,Yes,5,Wednesday,14,18
4867.24,Online Payment,ATM,5,656,No,9,Thursday,18,39
9039.55,Deposit,POS Terminal,13,625,Yes,4,Saturday,11,16
2640.42,Withdrawal,POS Terminal,18,304,No,13,Thursday,2,20
935.78,Transfer,Web,18,691,No,16,Thursday,14,18
9751.95,Deposit,Web,10,674,No,9,Thursday,3,17
2449.39,Online Payment,Mobile,19,379,Yes,18,Saturday,15,30
7800.27,Online Payment,Mobile,11,354,Yes,16,Sunday,0,9
8298.45,Withdrawal,Mobile,19,577,Yes,23,Thursday,1,30
7749.37,Online Payment,POS Terminal,3,824,No,17,Friday,16,13
2326.74,Deposit,Web,11,704,No,13,Thursday,11,41
94.05,Transfer,ATM,3,727,No,5,Sunday,18,11
212.18,Deposit,Web,7,541,Yes,12,Sunday,7,11
6422.62,Transfer,Web,9,645,No,16,Thursday,7,34
7672.37,Deposit,Web,20,551,No,7,Tuesday,21,49
3561.14,Withdrawal,Web,15,453,No,3,Friday,5,43
1182.85,Deposit,Web,17,399,Yes,13,Thursday,0,23
24.0,Withdrawal,Mobile,20,684,Yes,10,Friday,8,21
5212.96,Deposit,Mobile,20,491,No,11,Saturday,11,57
6679.59,Withdrawal,ATM,10,564,No,9,Thursday,2,26
6693.73,Online Payment,Mobile,16,790,Yes,18,Saturday,5,41
9510.74,Deposit,Mobile,19,453,No,11,Saturday,23,59
7125.72,Online Payment,ATM,19,824,No,10,Friday,0,49
8817.68,Transfer,POS Terminal,15,833,No,3,Monday,4,18
3478.2,Withdrawal,Mobile,10,845,No,2,Sunday,19,14
3830.73,Deposit,Web,17,371,No,28,Tuesday,18,15
2229.75,Deposit,Mobile,2,653,Yes,6,Thursday,12,36
8614.98,Withdrawal,POS Terminal,18,633,Yes,28,Tuesday,23,21
7073.59,Deposit,ATM,7,682,No,11,Saturday,23,55
8621.79,Online Payment,POS Terminal,7,637,Yes,11,Saturday,10,19
2245.5,Online Payment,ATM,14,445,No,14,Tuesday,12,49
5570.2,Withdrawal,Web,17,715,No,6,Thursday,13,54
6014.65,Withdrawal,POS Terminal,6,404,No,4,Tuesday,4,28
8196.85,Withdrawal,POS Terminal,1,478,No,21,Tuesday,3,27
1786.7,Online Payment,Web,15,730,No,4,Saturday,22,28
1072.62,Transfer,POS Terminal,20,739,Yes,6,Thursday,2,45
3833.72,Transfer,POS Terminal,17,561,No,9,Thursday,12,27
774.79,Online Payment,Web,10,725,Yes,4,Tuesday,11,55
7772.57,Deposit,Mobile,10,772,Yes,11,Tuesday,19,33
2956.81,Withdrawal,ATM,20,356,No,9,Sunday,2,58
9963.77,Deposit,Web,7,799,No,26,Sunday,21,34
4150.16,Transfer,Mobile,4,345,No,11,Saturday,0,27
3755.63,Deposit,Mobile,16,560,Yes,27,Monday,15,1
2100.5,Deposit,ATM,13,527,No,4,Saturday,2,8
5228.19,Deposit,ATM,14,416,Yes,1,Wednesday,14,37
9663.28,Withdrawal,ATM,16,381,No,8,Wednesday,8,19
7869.92,Online Payment,ATM,4,756,No,25,Saturday,15,41
1767.89,Online Payment,ATM,18,442,No,6,Thursday,21,57
6532.49,Withdrawal,Web,14,630,Yes,28,Tuesday,3,42
3653.69,Withdrawal,Web,2,543,No,8,Saturday,17,0
561.46,Deposit,POS Terminal,3,848,Yes,1,Wednesday,10,47
1065.42,Online Payment,POS Terminal,2,650,No,6,Monday,6,56
9762.16,Withdrawal,Mobile,12,519,No,21,Tuesday,4,53
1565.42,Deposit,POS Terminal,15,513,Yes,8,Wednesday,1,9
9148.31,Online Payment,Web,9,711,No,3,Friday,23,43
1428.65,Online Payment,Mobile,7,612,Yes,2,Thursday,21,35
7906.04,Transfer,Web,5,396,Yes,15,Wednesday,14,37
2536.55,Online Payment,ATM,1,708,No,4,Saturday,11,21
9458.98,Online Payment,POS Terminal,5,363,Yes,30,Thursday,19,29
536.71,Transfer,Mobile,5,536,Yes,13,Thursday,20,11
5299.21,Online Payment,ATM,3,334,Yes,8,Saturday,9,6
8163.84,Online Payment,Mobile,20,760,No,4,Tuesday,14,56
5274.36,Transfer,Mobile,13,507,No,27,Monday,7,2
7471.67,Transfer,POS Terminal,11,747,Yes,1,Saturday,22,58
4530.27,Deposit,Web,8,839,Yes,27,Monday,14,33
244.26,Withdrawal,Web,14,659,Yes,17,Friday,5,52
8820.32,Withdrawal,Web,11,612,Yes,9,Sunday,10,13
5351.45,Deposit,Web,18,494,No,9,Thursday,8,40
9083.25,Transfer,POS Terminal,19,726,No,2,Thursday,5,25
6000.25,Online Payment,ATM,17,751,Yes,27,Monday,14,4
366.64,Transfer,ATM,15,707,Yes,5,Sunday,4,55
27.8,Withdrawal,POS Terminal,18,514,Yes,19,Sunday,21,54
833.25,Online Payment,ATM,4,658,No,3,Monday,6,11
4977.05,Withdrawal,ATM,13,756,No,8,Saturday,5,4
8745.12,Withdrawal,Mobile,16,386,No,10,Monday,23,15
8558.85,Withdrawal,ATM,10,527,No,13,Thursday,23,24
2353.77,Transfer,Mobile,4,730,Yes,13,Thursday,8,47
438.05,Transfer,ATM,2,623,No,14,Friday,20,3
7795.83,Deposit,Mobile,18,380,Yes,4,Tuesday,23,52
9686.35,Online Payment,ATM,5,842,Yes,2,Sunday,11,5
3081.81,Withdrawal,ATM,3,687,No,1,Saturday,15,4
7149.69,Deposit,Web,12,775,Yes,6,Monday,9,39
6159.21,Online Payment,POS Terminal,6,838,No,16,Sunday,4,26
7008.37,Withdrawal,Web,1,374,Yes,10,Friday,19,41
4083.29,Deposit,ATM,7,440,No,12,Wednesday,10,47
6806.62,Deposit,Web,9,648,No,18,Saturday,22,41
3333.3,Transfer,POS Terminal,6,807,Yes,14,Tuesday,15,18
6845.54,Transfer,Mobile,6,784,No,27,Monday,15,0
338.68,Withdrawal,ATM,14,641,No,22,Wednesday,8,56
9604.32,Transfer,ATM,3,343,Yes,22,Wednesday,15,41
2202.71,Deposit,ATM,17,517,Yes,30,Thursday,10,10
3128.15,Withdrawal,ATM,13,437,No,21,Tuesday,11,9
7360.54,Online Payment,POS Terminal,14,707,Yes,15,Saturday,1,36
6396.86,Online Payment,Mobile,17,331,Yes,31,Friday,22,35
7600.79,Deposit,POS Terminal,14,390,Yes,19,Sunday,8,27
1587.65,Withdrawal,ATM,12,804,No,6,Monday,11,21
217.16,Online Payment,POS Terminal,5,512,No,31,Friday,16,6
9906.09,Online Payment,Web,16,348,Yes,27,Monday,15,8
6113.17,Deposit,ATM,10,691,No,20,Monday,5,44
8644.35,Online Payment,Mobile,12,574,No,8,Wednesday,17,55
4842.51,Transfer,Mobile,2,312,No,24,Friday,5,36
1399.43,Withdrawal,POS Terminal,18,420,No,30,Thursday,15,30
2363.18,Transfer,ATM,15,404,No,11,Tuesday,20,38
7818.98,Online Payment,Mobile,17,803,No,9,Sunday,9,57
2686.55,Transfer,Web,18,375,No,29,Wednesday,8,22
203.63,Online Payment,ATM,19,713,Yes,5,Sunday,18,21
5230.4,Online Payment,ATM,3,586,Yes,4,Tuesday,22,58
9394.59,Online Payment,ATM,5,701,No,13,Monday,16,46
1032.88,Online Payment,ATM,18,346,Yes,9,Thursday,2,29
5962.35,Transfer,POS Terminal,4,515,Yes,1,Saturday,15,5
6143.4,Online Payment,POS Terminal,1,693,Yes,10,Friday,6,41
4433.83,Online Payment,ATM,3,768,No,9,Thursday,21,19
1922.28,Withdrawal,Web,2,432,No,10,Friday,20,58
6777.16,Transfer,ATM,15,783,No,9,Thursday,16,17
9993.18,Online Payment,Mobile,17,381,No,8,Saturday,8,21
9122.76,Transfer,Mobile,13,629,Yes,31,Friday,19,38
2417.02,Deposit,POS Terminal,19,621,Yes,25,Saturday,10,19
3976.63,Transfer,ATM,16,771,Yes,1,Saturday,15,40
1618.15,Withdrawal,Web,2,462,Yes,4,Tuesday,16,19
8672.73,Transfer,Web,2,789,No,15,Wednesday,16,57
6732.88,Deposit,Web,11,441,No,18,Saturday,23,21
7133.1,Withdrawal,ATM,19,762,No,20,Monday,14,51
3617.3,Withdrawal,Web,15,512,Yes,27,Monday,15,27
2238.18,Deposit,POS Terminal,9,428,No,6,Thursday,22,35
8674.12,Online Payment,POS Terminal,9,339,Yes,29,Wednesday,22,41
7170.7,Online Payment,Mobile,9,748,No,9,Sunday,6,38
1653.38,Withdrawal,POS Terminal,11,804,Yes,10,Monday,12,17
6302.22,Online Payment,POS Terminal,9,526,Yes,5,Wednesday,11,4
610.47,Transfer,ATM,12,611,No,17,Friday,5,43
4432.55,Transfer,ATM,20,587,Yes,19,Sunday,22,30
9913.34,Online Payment,Mobile,1,840,Yes,22,Wednesday,8,45
1056.09,Transfer,Web,20,702,No,17,Friday,14,5
1483.58,Online Payment,Mobile,11,362,No,13,Monday,13,8
7213.38,Deposit,ATM,1,521,No,16,Thursday,21,59
7583.92,Transfer,POS Terminal,16,841,Yes,16,Thursday,9,4
5979.09,Transfer,Mobile,13,577,Yes,26,Sunday,4,37
7717.78,Deposit,POS Terminal,15,621,No,28,Tuesday,16,36
9242.68,Transfer,POS Terminal,6,377,No,27,Monday,13,0
6119.33,Deposit,ATM,13,585,No,26,Sunday,6,58
2963.21,Withdrawal,Web,17,685,Yes,25,Saturday,22,21
145.05,Online Payment,Mobile,18,834,Yes,3,Monday,13,49
3311.49,Deposit,ATM,12,545,No,20,Monday,7,56
396.9,Withdrawal,ATM,3,375,No,2,Sunday,0,38
6783.71,Deposit,ATM,10,458,Yes,23,Thursday,3,0
4464.01,Withdrawal,Web,12,791,No,27,Monday,22,39
1970.47,Deposit,Mobile,4,402,Yes,14,Friday,11,21
795.28,Transfer,ATM,17,748,Yes,27,Monday,6,40
8202.39,Transfer,ATM,17,374,No,14,Tuesday,2,5
2739.56,Transfer,Mobile,2,460,No,6,Monday,20,29
3083.82,Deposit,ATM,10,415,Yes,12,Wednesday,22,34
4673.5,Withdrawal,ATM,17,539,No,10,Monday,16,5
2657.55,Online Payment,ATM,9,836,No,12,Wednesday,17,44
2185.77,Online Payment,Mobile,19,448,Yes,28,Tuesday,22,37
2980.42,Online Payment,POS Terminal,9,554,No,15,Saturday,0,30
9417.71,Withdrawal,Web,5,334,Yes,31,Friday,0,28
2769.38,Online Payment,POS Terminal,16,842,No,28,Tuesday,18,22
832.67,Transfer,Web,20,553,No,8,Saturday,16,27
1466.97,Online Payment,Web,1,566,Yes,17,Friday,19,50
8307.65,Transfer,Mobile,14,390,No,15,Saturday,18,11
2384.33,Transfer,Mobile,6,761,No,7,Tuesday,11,12
1345.19,Transfer,Mobile,15,739,No,2,Sunday,19,25
3337.07,Deposit,Mobile,7,353,No,9,Thursday,22,56
2973.4,Online Payment,POS Terminal,7,319,No,15,Saturday,7,23
7049.08,Transfer,Mobile,20,353,Yes,15,Wednesday,18,5
8624.3,Transfer,ATM,14,388,Yes,28,Tuesday,9,0
1126.22,Transfer,Mobile,12,726,Yes,28,Tuesday,3,54
5901.29,Transfer,Mobile,14,739,Yes,6,Thursday,18,39
8266.83,Deposit,Mobile,11,450,No,26,Sunday,17,21
6555.23,Online Payment,Mobile,10,701,Yes,7,Friday,4,39
5450.41,Withdrawal,Mobile,9,591,Yes,13,Monday,10,30
7092.14,Transfer,Mobile,9,300,No,15,Saturday,14,24
299.57,Withdrawal,POS Terminal,4,466,Yes,14,Tuesday,11,59
6643.3,Online Payment,Mobile,14,623,Yes,10,Friday,17,59
680.86,Online Payment,ATM,11,530,Yes,5,Wednesday,15,18
8886.98,Transfer,Web,10,688,Yes,14,Tuesday,17,51
1258.2,Withdrawal,Mobile,12,397,No,4,Saturday,5,57
4177.99,Online Payment,Mobile,11,792,Yes,14,Friday,22,15
5487.28,Withdrawal,Web,7,557,Yes,13,Thursday,5,40
3587.03,Online Payment,ATM,18,401,No,15,Wednesday,6,46
5678.29,Withdrawal,Mobile,6,511,No,14,Friday,7,16
6056.36,Withdrawal,POS Terminal,4,442,Yes,18,Saturday,18,52
6905.45,Withdrawal,ATM,2,640,No,9,Thursday,7,42
9445.79,Online Payment,POS Terminal,3,698,No,28,Tuesday,1,30
8829.05,Deposit,POS Terminal,15,705,No,23,Thursday,12,24
6246.74,Transfer,Mobile,2,482,Yes,7,Friday,9,10
2163.57,Transfer,Web,8,484,Yes,2,Thursday,22,11
4167.27,Online Payment,ATM,16,325,Yes,4,Saturday,13,27
5582.47,Online Payment,Mobile,18,754,No,24,Friday,23,59
3331.21,Withdrawal,POS Terminal,10,429,No,15,Wednesday,22,38
4043.54,Transfer,ATM,13,673,Yes,18,Saturday,3,54
2706.85,Online Payment,POS Terminal,5,579,No,20,Monday,6,50
5556.53,Withdrawal,ATM,15,598,No,3,Monday,8,28
5663.15,Deposit,Mobile,5,526,Yes,15,Wednesday,10,26
9938.14,Withdrawal,Mobile,16,332,No,11,Tuesday,2,5
1614.73,Online Payment,ATM,10,681,No,13,Monday,14,24
9186.22,Transfer,Web,10,341,Yes,26,Sunday,2,10
8028.97,Deposit,ATM,18,657,Yes,29,Wednesday,0,52
2927.54,Online Payment,ATM,18,737,No,20,Monday,9,2
236.44,Withdrawal,ATM,4,693,Yes,12,Wednesday,2,22
3365.53,Online Payment,Web,11,799,Yes,6,Thursday,17,35
8805.93,Transfer,Web,4,352,No,18,Saturday,9,48
8514.58,Deposit,Web,14,497,No,1,Saturday,20,44
6559.59,Online Payment,Web,17,765,No,14,Friday,22,57
9635.43,Withdrawal,ATM,7,390,Yes,24,Friday,14,36
4160.06,Online Payment,ATM,9,687,Yes,2,Sunday,14,33
4128.04,Withdrawal,Web,8,772,Yes,31,Friday,19,42
7737.48,Deposit,Mobile,13,446,No,12,Wednesday,12,50
1769.08,Deposit,Web,6,785,No,2,Sunday,12,37
6434.98,Online Payment,Web,14,566,No,18,Saturday,16,36
3628.83,Withdrawal,Web,7,776,Yes,8,Wednesday,20,38
3304.55,Online Payment,POS Terminal,6,581,No,28,Tuesday,22,33
3121.27,Transfer,Web,16,492,No,4,Saturday,11,19
4424.99,Withdrawal,ATM,1,703,Yes,17,Friday,0,27
6485.31,Online Payment,ATM,7,839,No,5,Sunday,2,14
6000.96,Withdrawal,ATM,14,303,Yes,20,Monday,17,11
1767.48,Transfer,Web,6,391,Yes,30,Thursday,14,56
9500.43,Transfer,POS Terminal,5,446,No,8,Saturday,5,40
7063.15,Online Payment,Mobile,20,707,Yes,12,Wednesday,9,36
4837.32,Deposit,Mobile,9,788,No,3,Monday,1,12
7984.46,Transfer,Mobile,15,525,Yes,6,Monday,14,13
7193.48,Transfer,ATM,10,338,Yes,9,Sunday,22,35
1354.52,Transfer,Web,11,469,Yes,13,Monday,16,51
7146.19,Deposit,Web,12,694,No,3,Friday,14,50
3195.0,Deposit,Mobile,11,362,No,27,Monday,4,10
7865.97,Transfer,Mobile,18,829,No,18,Saturday,4,43
9394.64,Deposit,POS Terminal,3,425,Yes,13,Monday,12,0
5917.25,Online Payment,Web,20,496,No,12,Sunday,18,8
3952.05,Transfer,Mobile,8,749,No,22,Wednesday,9,39
709.86,Deposit,POS Terminal,10,605,Yes,12,Sunday,14,43
3527.22,Withdrawal,ATM,19,378,No,1,Wednesday,10,36
235.83,Transfer,Mobile,4,563,No,11,Tuesday,17,54
4852.27,Online Payment,ATM,20,732,No,15,Saturday,16,8
4966.03,Withdrawal,Mobile,18,754,No,23,Thursday,13,33
4792.86,Online Payment,Mobile,13,429,Yes,15,Saturday,22,55
8037.42,Withdrawal,Mobile,16,541,No,5,Sunday,14,50
8909.73,Online Payment,POS Terminal,18,532,No,11,Saturday,5,43
6352.15,Deposit,POS Terminal,12,730,Yes,20,Monday,18,19
9808.34,Withdrawal,ATM,11,558,No,15,Wednesday,2,54
4300.54,Withdrawal,Mobile,20,775,No,9,Sunday,5,27
7611.18,Withdrawal,Web,9,428,Yes,11,Saturday,7,41
510.9,Deposit,Web,3,564,Yes,17,Friday,22,42
